time_ns,in_Left,in_Right,out_Left,out_Right
605,   998,  5738,   121,   700
645,  1986,  7996,   504,  2483
685,  2955,  5403,  1036,  3647
725,  3894,  -466,  1566,  2642
765,  4794, -6054,  2072,   -13
805,  5646, -7969,  2555, -2671
845,  6442, -5050,  3013, -3708
885,  7173,   932,  3441, -2495
925,  7833,  6349,  3834,   231
965,  8414,  7914,  4189,  2817
1005,  8912,  4679,  4503,  3693
1045,  9320, -1394,  4771,  2329
1085,  9635, -6622,  4992,  -448
1125,  9854, -7833,  5163, -2954
1165,  9974, -4292,  5282, -3668
1205,  9995,  1852,  5348, -2157
1245,  9916,  6873,  5361,   662
1285,  9738,  7725,  5320,  3079
1325,  9463,  3891,  5227,  3628
1365,  9092, -2303,  5081,  1977
1405,  8632, -7100,  4884,  -874
1445,  8084, -7590,  4638, -3195
1485,  7457, -3476,  4346, -3578
1525,  6754,  2746,  4011, -1791
1565,  5984,  7303,  3636,  1082
1605,  5155,  7430,  3224,  3299
1645,  4273,  3050,  2780,  3514
1685,  3349, -3180,  2308,  1597
1725,  2392, -7481,  1813, -1289
1765,  1411, -7244,  1300, -3393
1805,   415, -2613,   774, -3440
1845,  -583,  3603,   241, -1400
1885, -1577,  7634,  -295,  1488
1925, -2555,  7034,  -828,  3474
1965, -3507,  2167, -1353,  3352
2005, -4425, -4014, -1864,  1196
2045, -5298, -7760, -2357, -1685
2085, -6118, -6799, -2826, -3545
2125, -6877, -1714, -3267, -3254
2165, -7568,  4411, -3676,  -990
2205, -8182,  7860, -4048,  1874
2245, -8715,  6542, -4379,  3602
2285, -9161,  1254, -4666,  3144
2325, -9516, -4793, -4907,   779
2365, -9775, -7934, -5099, -2059
2405, -9936, -6262, -5240, -3648
2445, -9999,  -791, -5328, -3025
2485, -9961,  5159, -5363,  -567
2525, -9824,  7980, -5345,  2235
2565, -9589,  5960, -5273,  3680
2605, -9258,   325, -5149,  2893
2645, -8834, -5507, -4973,   351
2685, -8322, -7999, -4747, -2405
2725, -7727, -5639, -4474, -3702
2765, -7055,   141, -4157, -2754
2805, -6312,  5836, -3797,  -136
2845, -5506,  7991, -3400,  2564
2885, -4646,  5298, -2969,  3709
2925, -3738,  -608, -2508,  2603
2965, -2794, -6146, -2023,   -82
3005, -1821, -7955, -1517, -2717
3045,  -830, -4939,  -995, -3705
3085,   168,  1072,  -464, -2446
3125,  1165,  6434,    71,   297
3165,  2151,  7893,   606,  2859
3205,  3115,  4563,  1135,  3687
3245,  4048, -1533,  1653,  2278
3285,  4941, -6701,  2154,  -513
3325,  5784, -7803,  2634, -2993
3365,  6569, -4172,  3087, -3658
3405,  7289,  1989,  3509, -2104
3445,  7936,  6944,  3896,   726
3485,  8504,  7687,  4245,  3115
3525,  8987,  3766,  4551,  3614
3565,  9379, -2438,  4812,  1921
3605,  9679, -7164,  5024,  -938
3645,  9881, -7544,  5186, -3228
3685,  9985, -3348,  5296, -3560
3725,  9989,  2879,  5354, -1733
3765,  9893,  7360,  5358,  1145
3805,  9698,  7376,  5308,  3328
3845,  9407,  2918,  5206,  3492
3885,  9021, -3309,  5051,  1538
3925,  8545, -7530,  4846, -1350
3965,  7984, -7183,  4592, -3419
4005,  7343, -2478,  4293, -3415
4045,  6629,  3729,  3950, -1339
4085,  5849,  7675,  3569,  1548
4125,  5010,  6965,  3151,  3496
