time_ns,x_in,y_out
                 105,     0,     0
                 115,  4336,     0
                 125,  6495,   529
                 135,  5618,  1932
                 145,  2688,  3063
                 155,   -72,  2841
                 165,  -548,  1579
                 175,  1987,   311
                 185,  6424,    51
                 195, 10492,  1191
                 205, 12138,  3270
                 215, 10764,  5253
                 225,  7598,  6159
                 235,  4938,  5655
                 245,  4767,  4258
                 255,  7541,  3019
                 265, 11917,  2887
                 275, 15565,  4133
                 285, 16578,  6183
                 295, 14633,  7968
                 305, 11182,  8571
                 315,  8573,  7781
                 325,  8623,  6226
                 335, 11518,  4985
                 345, 15697,  4938
                 355, 18799,  6229
                 365, 19097,  8181
                 375, 16542,  9704
                 385, 12793,  9956
                 395, 10214,  8857
                 405, 10434,  7132
                 415, 13363,  5876
                 425, 17245,  5886
                 435, 19724,  7180
                 445, 19271,  8984
                 455, 16114, 10204
                 465, 12098, 10087
                 475,  9568,  8678
                 485,  9944,  6796
                 495, 12863,  5533
                 505, 16396,  5594
                 515, 18223,  6871
                 525, 17036,  8503
                 535, 13337,  9407
                 545,  9131,  8927
                 555,  6712,  7237
                 565,  7271,  5235
                 575, 10177,  3997
                 585, 13356,  4127
                 595, 14554,  5387
                 605, 12702,  6849
                 615,  8568,  7449
                 625,  4290,  6641
                 635,  2080,  4724
                 645,  2886,  2662
                 655,  5813,  1501
                 665,  8672,  1734
                 675,  9306,  3002
                 685,  6900,  4314
                 695,  2476,  4647
                 705, -1724,  3568
                 715, -3600,  1496
                 725, -2463,  -548
                 735,   544, -1565
                 745,  3145, -1180
                 755,  3310,   131
                 765,   486,  1330
                 775, -4062,  1446
                 785, -8021,   166
                 795, -9430, -1975
                 805, -7869, -3917
                 815, -4713, -4719
                 825, -2297, -4129
                 835, -2497, -2734
                 845, -5593, -1606
                 855,-10097, -1651
                 865,-13655, -3057
                 875,-14474, -5181
                 885,-12409, -6937
                 895, -9048, -7457
                 905, -6751, -6615
                 915, -7217, -5102
                 925,-10450, -4009
                 935,-14758, -4162
                 945,-17780, -5624
                 955,-17914, -7653
                 965,-15291, -9153
                 975,-11694, -9340
                 985, -9476, -8213
                 995,-10133, -6561
                1005,-13393, -5478
                1015,-17387, -5701
                1025,-19776, -7165
                1035,-19173, -9039
                1045,-15983,-10232
                1055,-12158,-10055
                1065,-10013, -8636
                1075,-10820, -6845
                1085,-14039, -5767
                1095,-17644, -6040
                1105,-19353, -7472
                1115,-18011, -9155
                1125,-14293,-10018
                1135,-10294, -9474
                1145, -8258, -7778
                1155, -9218, -5874
                1165,-12369, -4820
                1175,-15558, -5145
                1185,-16591, -6535
                1195,-14562, -8016
                1205,-10406, -8551
                1215, -6330, -7666
                1225, -4479, -5738
                1235, -5631, -3770
                1245, -8728, -2779
                1255,-11521, -3181
                1265,-11931, -4540
                1275, -9313, -5833
                1285, -4849, -6069
                1295,  -832, -4892
                1305,   726, -2798
                1315,  -686,  -835
                1325, -3777,    35
                1335, -6227,  -484
                1345, -6103, -1842
                1355, -3029, -2978
                1365,  1581, -2962
                1375,  5385, -1562
                1385,  6527,   616
                1395,  4766,  2493
                1405,  1618,  3175
                1415,  -561,  2489
                1425,   -12,  1094
                1435,  3367,    74
                1445,  7954,   284
                1455, 11384,  1830
                1465, 11987,  4004
                1475,  9795,  5712
                1485,  6527,  6138
                1495,  4541,  5238
                1505,  5404,  3767
                1515,  8942,  2820
                1525, 13343,  3165
                1535, 16255,  4782
                1545, 16214,  6869
                1555, 13529,  8332
                1565, 10096,  8445
                1575,  8244,  7293
                1585,  9326,  5719
                1595, 12894,  4810
                1605, 16973,  5241
                1615, 19255,  6863
                1625, 18503,  8794
                1635, 15298,  9953
                1645, 11686,  9716
                1655,  9940,  8294
                1665, 11176,  6605
                1675, 14681,  5718
                1685, 18341,  6202
                1695, 19927,  7784
                1705, 18445,  9510
                1715, 14739, 10330
                1725, 10980,  9729
                1735,  9349,  8043
                1745, 10714,  6254
                1755, 14104,  5393
                1765, 17299,  5919
                1775, 18175,  7436
                1785, 15995,  8936
                1795, 11857,  9410
                1805,  8025,  8460
                1815,  6560,  6542
                1825,  8069,  4688
                1835, 11338,  3881
                1845, 14068,  4460
                1855, 14272,  5913
                1865, 11478,  7190
                1875,  7022,  7338
                1885,  3233,  6081
                1895,  2022,  3989
                1905,  3726,  2130
                1915,  6905,  1424
                1925,  9212,  2086
                1935,  8822,  3496
                1945,  5540,  4574
                1955,   916,  4438
                1965, -2687,  2938
                1975, -3533,   749
                1985, -1559, -1041
                1995,  1585, -1586
                2005,  3539,  -797
                2015,  2665,   603
                2025,  -956,  1523
                2035, -5578,  1161
                2045, -8839,  -505
                2055, -9201, -2706
                2065, -6877, -4344
                2075, -3701, -4662
                2085, -2019, -3700
                2095, -3257, -2270
                2105, -7063, -1463
                2115,-11514, -1989
                2125,-14284, -3742
                2135,-14053, -5866
                2145,-11308, -7275
                2155, -8045, -7307
                2165, -6559, -6129
                2175, -8051, -4634
                2185,-11896, -3899
                2195,-16026, -4531
                2205,-18181, -6297
                2215,-17278, -8268
                2225,-14071, -9381
                2235,-10690, -9082
